word,correct
അകത്തളിര,അകതളിര
അകത്തളിർ,അകതളിർ
അകമ്പിടി,അകമ്പടി
അകർന്ന്,അകന്ന്
അകൽച,അകൽച്ച
അകിമ്പടി,അകമ്പടി‌
അക്ഷറം,അക്ഷരം
അക്ഷറങ്ങളുടെ,അക്ഷരങ്ങളുടെ
അംഗണം,അങ്കണം
അഗദി,അഗതി
അഗധി,അഗതി
അംഗവീരൻ,അങ്കവീരൻ
അഗാതം,അഗാധം
അംഗീകൃദം,അംഗീകൃതം
അംഗീകൃധം,അംഗീകൃതം
അംഗുശ്ടം,അംഗുഷ്ഠം
അംഗുശ്ട്ടം,അംഗുഷ്ഠം
അഗ്നിഭാധ,അഗ്നിബാധ
അംഘബംഖം,അംഗഭംഗം
അംഘബംഗം,അംഗഭംഗം
അംഘഭംഗം,അംഗഭംഗം
അഘാതം,അഗാധം
അഘാധം,അഗാധം
അഘില,അഖില
അങ്കത്വം,അംഗത്വം
അങ്കപങ്കം,അംഗഭംഗം
അങ്കബലം,അംഗബലം
അങ്കീകൃതം,അംഗീകൃതം
അങ്കുഷ്ടം,അംഗുഷ്ഠം
അങ്ങിനെ,അങ്ങനെ
അങ്ങെനെ,അങ്ങനെ
അച്ചുതൻ,അച്യുതൻ
അഛൻ,അച്ഛൻ
അഛ്ചൻ,അച്ഛൻ
അംജനം,അഞ്ജനം
അഞ്ചനം,അഞ്ജനം
അഞ്ജലീ,അഞ്ജലി
അഞ്ജലീബന്ധം,അഞ്ജലിബന്ധം
അഞ്ജാം,അഞ്ചാം
അടിമത്വ,അടിമത്ത
അടിമത്വം,അടിമത്തം
അടിയന്തിര,അടിയന്തര
അട്ടിപ്പേറായി,അട്ടിപ്പേരായി
അണ്ഠകടാഹ,അണ്ഡകടാഹ
അതത,അതാത
അതത്,അതാത്
അതിഥീ,അതിഥി
അതിഥീപൂജ,അതിഥിപൂജ
അതിധി,അതിഥി
അതിർതി,അതിർത്തി
അതിർഥി,അതിർത്തി
അതൃത്തി,അതിർത്തി
അത്ത്യുജ്ജലം,അത്യുജ്ജ്വലം
അത്യുഛകോടി,അത്യുച്ചകോടി
അത്യുജ്ജലം,അത്യുജ്ജ്വലം
അഥരം,അധരം
അഥിതി,അതിഥി
അഥിധി,അതിഥി
അഥിപൻ,അധിപൻ
അഥിർത്തി,അതിർത്തി
അഥിർഥി,അതിർത്തി
അഥീനത,അധീനത
അദരം,അധരം
അദിപൻ,അധിപൻ
അദീനത,അധീനത
അദ്ധേഹ,അദ്ദേഹ
അദ്ഭുത,അത്ഭുത
അദ്ഭുതം,അത്ഭുതം
അദ്രിശ്യ,അദൃശ്യ
അധ: പതന,അധഃപതന
അധ:കൃത,അധഃകൃത
അധ:കൃതം,അധഃകൃതം
അധ:പതന,അധഃപതന
അധ:പതനം,അധഃപതനം
അധകൃത,അധഃകൃത
അധകൃതം,അധഃകൃതം
അധക്കൃത,അധഃകൃത
അധക്കൃതം,അധഃകൃതം
അധപതന,അധഃപതന
അധപതനം,അധഃപതനം
അധപതിക്കുക,അധഃപതിക്കുക
അധപ്പതന,അധഃപതന
അധപ്പതനം,അധഃപതനം
അധവാ,അഥവാ
അധിതി,അതിഥി
അധിർത്തി,അതിർത്തി
അധീനധ,അധീനത
അധ്യക്ഷം,ആധ്യക്ഷ്യം
അധ്യയന,അദ്ധ്യയന
അനദികൃതം,അനധികൃതം
അനന്തിര,അനന്തര
അനന്തിരം,അനന്തരം
അനന്തിരവൻ,അനന്തരവൻ
അനന്തിരാ,അനന്തരാ
അനന്ദം,അനന്തം
അനർഖം,അനർഘം
അനർഗം,അനർഘം
അനാദ,അനാഥ
അനാധ,അനാഥ
അനാവിശ്യ,അനാവശ്യ
അനാശ്ചാദന,അനാച്ഛാദന
അനാശ്ചാദനം,അനാച്ഛാദനം
അനുകാമി,അനുഗാമി
അനുഗ്രഹീത,അനുഗൃഹീത
അനുഗ്രഹീതം,അനുഗൃഹീതം
അനുഗ്രഹീതൻ,അനുഗൃഹീതൻ
അനുരുക്ത,അനുരക്ത
അനുരുക്തയാണ്,അനുരക്തയാണ്
അനുരൂപി,അനുരൂപൻ
അനുവധിക്ക,അനുവദിക്ക
അനുസരണമായ,അനുസൃതമായ
അനുസ്സരണ,അനുസരണ
അനുസ്സരണം,അനുസരണം
അനുസ്സരിക്കുക,അനുസരിക്കുക
അന്തകരണ,അന്തഃകരണ
അന്തക്കരണ,അന്തഃകരണ
അന്തഛിദ്രം,അന്തശ്ഛിദ്രം
അന്തപുര,അന്തഃപുര
അന്തപുരം,അന്തഃപുരം
അന്തപ്പുര,അന്തഃപുര
അന്തസത്ത,അന്തഃസത്ത
അന്വീക്ഷികി,ആന്വീക്ഷികി
അപരാഥം,അപരാധം
അപരാന്നം,അപരാഹ്നം
അപൂർവം,അപൂർവ്വം
അപൂർവ്വഉപകരണം,അപൂർവ്വോപകരണം
അബയം,അഭയം
അബയാർതി,അഭയാർത്ഥി
അബയാർത്ഥി,അഭയാർത്ഥി
അബയാർഥി,അഭയാർത്ഥി
അഭയാർതി,അഭയാർത്ഥി
അഭയാർഥി,അഭയാർത്ഥി
അംഭരം,അംബരം
അഭിഃപ്രായം,അഭിപ്രായം
അഭീഷ്ഠ,അഭീഷ്ട
അഭീഷ്ഠം,അഭീഷ്ടം
അഭ്യസ്ഥ,അഭ്യസ്ത
അഭ്യസ്ഥവിദ്യർ,അഭ്യസ്തവിദ്യർ
അമർത്ഥ്യത,അമർത്യത
അമോഘവീര്യവാൻ,അമോഘവീര്യൻ
അയോധ്യ,അയോദ്ധ്യ
അരങ്ഗ്,അരങ്ങ്
അരവിന്തം,അരവിന്ദം
അർത്തം,അർത്ഥം
അർഥ,അർത്ഥ
അർഥം,അർത്ഥം
അർഥമാക്കുക,അർത്ഥമാക്കുക
അല്ലങ്കി,അല്ലെങ്കി
അവലംഭം,അവലംബം
അവസ്ത,അവസ്ഥ
അവുധി,അവധി
അശ്ചൻ,അച്ഛൻ
അശ്വാരൂടൻ,അശ്വാരൂഢൻ
അശ്ശേഷ,അശേഷ
അശ്ശേഷം,അശേഷം
അഷ്കരം,അക്ഷരം
അഷ്ഠം,അഷ്ടം
അഷ്ഠമി,അഷ്ടമി
അസന്നിഗ്ദ്ധ,അസന്ദിഗ്ദ്ധ
അസുയകലുഷിതൻ,അസൂയകലുഷിതൻ
അസ്തമന,അസ്തമയ
അസ്തമനം,അസ്തമയം
അസ്ത്രപ്രജ്ഞ,അസ്തപ്രജ്ഞ
അസ്ഥപ്രജ്ഞ,അസ്തപ്രജ്ഞ
അസ്ഥിത്വ,അസ്തിത്വ
അസ്വാസ്ഥത,അസ്വസ്ഥത
അസ്സഹനീയ,അസഹനീയ
അസ്സുഖം,അസുഖം
അഹോയീശ,അഹോ ഈശ
അഹോവൃത്തി,അഹോർവൃത്തി
ആക്രിതി,ആകൃതി
ആഖാതം,ആഘാതം
ആഗാദം,ആഘാതം
ആഗാധം,ആഘാതം
ആച്ശര്യം,ആശ്ചര്യം
ആഛര്യം,ആശ്ചര്യം
ആജാനബാഹു,ആജാനുബാഹു
ആടംബരം,ആഡംബരം
ആടംഭരം,ആഡംബരം
ആഡംഭരം,ആഡംബരം
ആഢംബര,ആഡംബര
ആഢംബരം,ആഡംബരം
ആണന്ന്,ആണെന്ന്
ആത്മഹത്തി,ആത്മഹത്യ
ആദിക്യം,ആധിക്യം
ആധിത്യൻ,ആദിത്യൻ
ആധുനീക,ആധുനിക
ആധ്യക്ഷം,ആധ്യക്ഷ്യം
ആധ്യന്തം,ആദ്യന്തം
ആനന്തം,ആനന്ദം
ആപച്ഛങ്ക,ആപത്ശങ്ക
ആപത്ശങ്ക,ആപച്ഛങ്ക
ആമുഗം,ആമുഖം
ആമുഘം,ആമുഖം
ആലങ്കാരീക,ആലങ്കാരിക
ആശ്ച്ഛര്യം,ആശ്ചര്യം
ആഷാടം,ആഷാഢം
ആഷാഠം,ആഷാഢം
ആസ്വാദ്യകര,ആസ്വാദ്യ
ഇങ്ങിനെ,ഇങ്ങനെ
ഇങ്ങെനെ,ഇങ്ങനെ
ഇച്ച,ഇച്ഛ
ഇഛ,ഇച്ഛ
ഇഛ്ച,ഇച്ഛ
ഇഞ്ചിനീയർ,എൻജിനീയർ
ഇദ്ധേഹ,ഇദ്ദേഹ
ഇല്ലങ്കി,ഇല്ലെങ്കി
ഇല്ലങ്കിലും,ഇല്ലെങ്കിലും
ഇല്ലങ്കിൽ,ഇല്ലെങ്കിൽ
ഉചിഥം,ഉചിതം
ഉചിദം,ഉചിതം
ഉച്ചബാഷിണി,ഉച്ചഭാഷിണി
ഉച്ചഭാഷ്ണി,ഉച്ചഭാഷിണി
ഉച്ചിഷ്ടം,ഉച്ഛിഷ്ടം
ഉച്ചിഷ്ഠ,ഉച്ചിഷ്ട
ഉച്ചിഷ്ഠം,ഉച്ഛിഷ്ടം
ഉച്ഛാരണ,ഉച്ചാരണ
ഉച്ഛാരണം,ഉച്ചാരണം
ഉച്ഛൃംഘലൻ,ഉച്ഛൃംഖലൻ
ഉഛാരണ,ഉച്ചാരണ
ഉഛാരണം,ഉച്ചാരണം
ഉഛ്വാസ,ഉച്ഛ്വാസ
ഉഛ്വാസം,ഉച്ഛ്വാസം
ഉജാരണം,ഉച്ചാരണം
ഉജിതം,ഉചിതം
ഉജ്വല,ഉജ്ജ്വല
ഉജ്വലം,ഉജ്ജ്വലം
ഉജ്വലമാക്കുക,ഉജ്ജ്വലമാക്കുക
ഉടംപടി,ഉടമ്പടി
ഉടമസ്തൻ,ഉടമസ്ഥൻ
ഉടമ്ബടി,ഉടമ്പടി
ഉടമ്ഭടി,ഉടമ്പടി
ഉഡ്ഡിയനം,ഉഡ്ഡീനം, ഉഡ്ഡയനം
ഉണ്ണികഥകൾ,ഉണ്ണിക്കഥകൾ
ഉണ്ണിക്കധകൾ,ഉണ്ണിക്കഥകൾ
ഉത്കണ്ട,ഉത്കണ്ഠ
ഉത്ഗ്രഥന,ഉദ്ഗ്രഥന
ഉത്ഗ്രഥനം,ഉദ്ഗ്രഥനം
ഉത്ഘാടന,ഉദ്ഘാടന
ഉത്ഘാടനം,ഉദ്ഘാടനം
ഉത്ഘോഷിക്ക,ഉദ്ഘോഷിക്ക
ഉത്ഘോഷിക്കുക,ഉദ്ഘോഷിക്കുക
ഉത്തരവാദിത്വ,ഉത്തരവാദിത്ത
ഉത്തരവാധ,ഉത്തരവാദ
ഉത്തരവാധി,ഉത്തരവാദി
ഉത്തരവാധിത്വ,ഉത്തരവാദിത്ത
ഉത്ബോധന,ഉദ്ബോധന
ഉത്ബോധനം,ഉദ്ബോധനം
ഉദ്ധേശ,ഉദ്ദേശ
ഉപകാരപ്രധം,ഉപകാരപ്രദം
ഉപവൃഷ്ടൻ,ഉപവിഷ്ടൻ
ഉല്കണ്ഠ,ഉത്കണ്ഠ
ഉൽഘാടന,ഉദ്ഘാടന
ഉൽഘാടനം,ഉദ്ഘാടനം
ഉൾക്കടദുഃഖം,ഉൾകടദുഃഖം
ഉൾപ്പട,ഉൾപ്പെടെ
ഉൾപ്പടെ,ഉൾപ്പെടെ
ഊർജം,ഊർജ്ജം
ഊർജം,ഊർജ്ജം
ഊർജത്,ഊർജ്ജത്
ഊർജമാ,ഊർജ്ജമാ
ഊർജി,ഊർജ്ജി
ഊർജിതം,ഊർജ്ജിതം
ഊർജിതമായി,ഊർജ്ജിതമായി
ഊർജോ,ഊർജ്ജോ
ഊർജ്ജ്വസ്സ്വ,ഊർജ്ജസ്വ
ഊർജ്ജ്വസ്സ്വലം,ഊർജ്ജസ്വലം
ഊർജ്ജ്വസ്സ്വലമായി,ഊർജ്ജസ്വലമായി
ഊർജ്വസ്വ,ഊർജ്ജസ്വ
ഊർജ്വസ്വം,ഊർജ്ജസ്വം
ഊർജ്വസ്വലം,ഊർജ്ജസ്വലം
ഊർജ്വസ്വലമായി,ഊർജ്ജസ്വലമായി
ഊർജ്വസ്സ്വ,ഊർജ്ജസ്വ
ഊർജ്വസ്സ്വലം,ഊർജ്ജസ്വലം
ഊർജ്വസ്സ്വലമായി,ഊർജ്ജസ്വലമായി
ഊർദ്ധം,ഊർദ്ധ്വം
എൻ്റെ,എന്റെ
എൻറെ,എന്റെ
എങ്ങിനെ,എങ്ങനെ
എങ്ങെനെ,എങ്ങനെ
എൺചുവടി,എഞ്ചുവടി
എതൃക്ക,എതിർക്ക
എന്തന്ന്,എന്തെന്ന്
എന്നിട്ടാല്ലേ,എന്നിട്ടല്ലേ
എന്നേയുള്ളു,എന്നേ ഉള്ളു
എന്ന്തു,എന്നതു
എഴുന്നെള്ളുക,എഴുന്നള്ളുക
ഏററവും,ഏറ്റവും
ഐതീഹ്യ,ഐതിഹ്യ
ഐതീഹ്യം,ഐതിഹ്യം
ഐശ്ചിക,ഐച്ഛിക
ഓർക്കാഴിക,ഓർക്കായ്ക
ഔത്സുഖ്യം,ഔൽസുക്യം
ഔത്സുഖ്യ,ഔൽസുഖ്യ
ഔഥാര്യം,ഔദാര്യം
ഔദ്യോഗിഗ,ഔദ്യോഗിക
ഔദ്യോദിക,ഔദ്യോഗിക
ഔധാര്യം,ഔദാര്യം
ഔഷഥം,ഔഷധം
ഔഷദം,ഔഷധം
കടംകഥ,കടങ്കഥ
കടചിൽ,കടച്ചിൽ
കടിനം,കഠിനം
കടുംകയ്,കടുംകൈ
കണ്ഡകാവ്യം,ഖണ്ഡകാവ്യം
കതന,കതിന
കഥനകഥ,കദനകഥ
കദംമ്പം,കദംബം
കദിന,കതിന
കബന്ദം,കബന്ധം
കമ്പനി,കമ്പെനി
കമ്മട്ടി,കമ്മിറ്റി
കയ്യ്,കൈ
കയ്‌വശം,കൈവശം
കരസ്തം,കരസ്ഥം
കർണ്ണകി,കണ്ണകി
കർശന,കർശ്ശന
കർശ്ശന,കർശന
കവയത്രി,കവയിത്രി
കവിടി,കവടി
കവുടി,കവടി
കശവ്,കസവ്
കളബം,കളഭം
കാര്യസ്തൻ,കാര്യസ്ഥൻ
കാവക്കാരൻ,കാവൽക്കാരൻ
കാവിടി,കാവടി
കിട്ടാട്ടെ,കിട്ടട്ടെ
കുടിശിക,കുടിശ്ശിക
കുടിശ്ശിഖ,കുടിശ്ശിക
കുഡുംബം,കുടുംബം
കുണ്ഠലം,കുണ്ഡലം
കുതൂഹലന്നായി,കുതൂഹലിന്നായി
കുത്തതപ്പാട്ടം,കുത്തകപ്പാട്ടം
കുരിചായത്,കുറിച്ചായത്
കുരിച്,കുറിച്ച്
കുരിച്ചു്,കുറിച്ചു്
കുശൃതി,കുസൃതി
കുഷ്ടം,കുഷ്ഠം
കുറിചായത്,കുറിച്ചായത്
കൃതു,ക്രതു
കൃതൃമം,കൃത്രിമം
കൃമ്മീരവധം,കിർമീരവധം
കൊണ്ട്ട്,കൊണ്ട്
കൊന്റ്,കൊണ്ട്
കൊൻറ്,കൊണ്ട്
കോഷ്ടം,കോഷ്ഠം
ക്രിത്യ,കൃത്യ
ക്രിത്രിമം,കൃത്രിമം
ക്രോടീകരിക്ക,ക്രോഡീകരിക്ക
ഗന്ദം,ഗന്ധം
ഗമഗം,ഗമകം
ഗരം,ഖരം
ഗരുടൻ,ഗരുഡൻ
ഗരുഠൻ,ഗരുഡൻ
ഗരുഢ,ഗരുഡ
ഗരുഢൻ,ഗരുഡൻ
ഗൽഗതം,ഗൽഗദം
ഗാന്തർവം,ഗാന്ധർവം
ഗാന്ദർവം,ഗാന്ധർവം
ഗുംഭനം,ഗുംഫനം
ഗൃഹസ്തൻ,ഗൃഹസ്ഥൻ
ഗ്രന്ധം,ഗ്രന്ഥം
ഘണ്ഡാ,ഘണ്ടാ
ചട്ട്ണി,ചട്ണി
ചതുരസ്രം,ചതുരശ്രം
ചാനളിനില്ല,ചാനലിനില്ല
ചാനെൽ,ചാനൽ
ചാനേൽ,ചാനൽ
ചാമ്പയ്ങ്ങ,ചാമ്പയ്ക്ക
ചിത്രക്കാരൻ,ചിത്രകാരൻ
ചിന്താർമണി,ചിന്താമണി
ചിലവാ,ചെലവാ
ചിലവാക്കുക,ചെലവാക്കുക
ചിലവു,ചെലവു
ചിലവ്,ചെലവ്
ചിലവ്,ചെലവ്
ചുകപ്പു,ചുവപ്പ്
ചുമ്മനം,ചുംബനം
ചൂഡാർമണി,ചൂഡാമണി
ചെതൽ,ചിതൽ
ചെരിച്ച്,ചരിച്ച്
ചേതഭ്രമം,ചേതോവിഭ്രമം
ചോതിച്ചപ്പോൾ,ചോദിച്ചപ്പോൾ
ചോദ്യച്ഛിന്നം,ചോദ്യചിഹ്നം
ജഡായു,ജടായു
ജാൻസിറാണി,ഝാൻസിറാണി
ജാംബുവതി,ജാംബവതി
ജാമ്പവതി,ജാംബവതി
ജീവശ്ചവ,ജീവച്ഛവ
ജീവശ്ച‌വം,ജീവച്ഛവം
ജീവശ്ശവ,ജീവച്ഛവ
ജീവശ്ശവം,ജീവച്ഛവം
ജേഷ്ട,ജ്യേഷ്ഠ
ജേഷ്ടൻ,ജ്യേഷ്ഠൻ
ജേഷ്ഠ,ജ്യേഷ്ഠ
ജേഷ്ഠൻ,ജ്യേഷ്ഠൻ
ജ്യേഷ്ട,ജ്യേഷ്ഠ
ജ്യേഷ്ടൻ,ജ്യേഷ്ഠൻ
ഝടതി,ഝടിതി
ഝടുതി,ഝടിതി
ഝഡുതി,ഝടിതി
ഞടുങ്ങി,നടുങ്ങി
ഞാങ്ങൾ,ഞങ്ങൾ
ടിക്കറ്റ്,ടിക്കെറ്റ്
തക്രിതിയായ്,തകൃതിയായ്
തഗർക്കൽ,തകർക്കൽ
തഗർക്കുന്ന,തകർക്കുന്ന
തഗർച്ച,തകർച്ച
തങ്കക്കൊടം,തങ്കക്കുടം
തങ്കവാദിൽ,തങ്കവാതിൽ
തച്ഛൻ,തച്ചൻ
തടാഗം,തടാകം
തഡയണം,തടയണം
തഡയൽ,തടയൽ
തഡയുക,തടയുക
തണൽമ്മരം,തണൽമരം
തത്വം,തത്ത്വം
തത്വപടനം,തത്ത്വപഠനം
തത്വമസി,തത്ത്വമസി
തത്വാർത്ത,തത്വാർത്ഥ
തഥനുസൃതമായ,തദനുസൃതമായ
തനദായ,തനതായ
തന്ത്രപ്രഥാനം,തന്ത്രപ്രധാനം
തന്ത്രപ്രദാനം,തന്ത്രപ്രധാനം
തപശക്തി,തപഃശക്തി
തപസി,തപസ്വി
തപസ്വിനായ്,തപസ്സിനായി
തബസ്വി,തപസ്വി
തബസ്സ്,തപസ്സ്
തബാൽ,തപാൽ
